0,1,2,3,4,5,6
group1,group2,meandiff,p-adj,lower,upper,reject
Distribution,Export,24.654,0.0,13.2041,36.1039,True
Distribution,Farm,3.2579,0.8837,-2.8679,9.3837,False
Distribution,Harvest,1.768,0.9995,-4.3618,7.8979,False
Distribution,Households,2.654,1.0,-8.7959,14.1039,False
Distribution,Market,4.5583,0.8225,-3.455,12.5716,False
Distribution,Post-harvest,16.9884,0.0,10.0702,23.9067,True
Distribution,Processing,6.3318,0.0522,-0.0267,12.6902,False
Distribution,Retail,17.7762,0.0,11.3838,24.1686,True
Distribution,Storage,2.2772,0.9938,-3.8478,8.4023,False
Distribution,Trader,9.2225,0.0014,2.0208,16.4241,True
Distribution,Transportation,0.6803,1.0,-5.4455,6.8061,False
Distribution,Whole supply chain,12.6726,0.0,6.2594,19.0859,True
Distribution,Wholesale,13.9844,0.0,7.592,20.3767,True
Export,Farm,-21.3961,0.0,-31.0766,-11.7156,True
Export,Harvest,-22.886,0.0,-32.569,-13.2029,True
Export,Households,-22.0,0.0,-35.6853,-8.3147,True
Export,Market,-20.0957,0.0,-31.0683,-9.1231,True
Export,Post-harvest,-7.6656,0.3934,-17.866,2.5348,False
Export,Processing,-18.3222,0.0,-28.1516,-8.4929,True
Export,Retail,-6.8778,0.5234,-16.7291,2.9735,False
Export,Storage,-22.3768,0.0,-32.0568,-12.6968,True
Export,Trader,-15.4315,0.0001,-25.8262,-5.0368,True
Export,Transportation,-23.9737,0.0,-33.6542,-14.2933,True
Export,Whole supply chain,-11.9814,0.0037,-21.8462,-2.1165,True
Export,Wholesale,-10.6696,0.0198,-20.521,-0.8183,True
Farm,Harvest,-1.4899,0.0,-1.9213,-1.0585,True
Farm,Households,-0.6039,1.0,-10.2844,9.0766,False
Farm,Market,1.3004,0.9999,-3.8788,6.4795,False
Farm,Post-harvest,13.7305,0.0,10.4943,16.9668,True
Farm,Processing,3.0739,0.0,1.33,4.8178,True
Farm,Retail,14.5183,0.0,12.6545,16.3821,True
Farm,Storage,-0.9807,0.0,-1.3381,-0.6232,True
Farm,Trader,5.9646,0.0,2.1599,9.7692,True
Farm,Transportation,-2.5776,0.0,-2.9467,-2.2085,True
Farm,Whole supply chain,9.4147,0.0,7.4806,11.3488,True
Farm,Wholesale,10.7265,0.0,8.8627,12.5903,True
Harvest,Households,0.886,1.0,-8.7971,10.569,False
Harvest,Market,2.7903,0.8742,-2.3936,7.9742,False
Harvest,Post-harvest,15.2204,0.0,11.9766,18.4642,True
Harvest,Processing,4.5637,0.0,2.8058,6.3217,True
Harvest,Retail,16.0082,0.0,14.1312,17.8851,True
Harvest,Storage,0.5092,0.0039,0.0886,0.9299,True
Harvest,Trader,7.4544,0.0,3.6434,11.2655,True
Harvest,Transportation,-1.0877,0.0,-1.5184,-0.6571,True
Harvest,Whole supply chain,10.9046,0.0,8.9578,12.8514,True
Harvest,Wholesale,12.2163,0.0,10.3394,14.0933,True
Households,Market,1.9043,1.0,-9.0683,12.8769,False
Households,Post-harvest,14.3344,0.0002,4.134,24.5348,True
Households,Processing,3.6778,0.9934,-6.1516,13.5071,False
Households,Retail,15.1222,0.0,5.2709,24.9735,True
Households,Storage,-0.3768,1.0,-10.0568,9.3032,False
Households,Trader,6.5685,0.6878,-3.8262,16.9632,False
Households,Transportation,-1.9737,1.0,-11.6542,7.7067,False
Households,Whole supply chain,10.0186,0.0424,0.1538,19.8835,True
Households,Wholesale,11.3304,0.0086,1.479,21.1817,True
Market,Post-harvest,12.4302,0.0,6.3343,18.5261,True
Market,Processing,1.7735,0.9983,-3.6788,7.2258,False
Market,Retail,13.2179,0.0,7.726,18.7097,True
Market,Storage,-2.2811,0.9717,-7.4593,2.8972,False
Market,Trader,4.6642,0.4518,-1.7516,11.0799,False
Market,Transportation,-3.878,0.3997,-9.0571,1.3011,False
Market,Whole supply chain,8.1143,0.0001,2.5982,13.6305,True
Market,Wholesale,9.4261,0.0,3.9342,14.9179,True
Post-harvest,Processing,-10.6567,0.0,-14.3142,-6.9991,True
Post-harvest,Retail,0.7877,1.0,-2.9284,4.5039,False
Post-harvest,Storage,-14.7112,0.0,-17.946,-11.4764,True
Post-harvest,Trader,-7.766,0.0,-12.7471,-2.7849,True
Post-harvest,Transportation,-16.3082,0.0,-19.5443,-13.072,True
Post-harvest,Whole supply chain,-4.3158,0.0086,-8.0678,-0.5639,True
Post-harvest,Wholesale,-3.0041,0.272,-6.7203,0.7121,False
Processing,Retail,11.4444,0.0,8.9189,13.9699,True
Processing,Storage,-4.0545,0.0,-5.7958,-2.3132,True
Processing,Trader,2.8907,0.5354,-1.2782,7.0596,False
Processing,Transportation,-5.6515,0.0,-7.3952,-3.9078,True
Processing,Whole supply chain,6.3408,0.0,3.763,8.9187,True
Processing,Wholesale,7.6526,0.0,5.1271,10.1781,True
Retail,Storage,-15.4989,0.0,-17.3603,-13.6376,True
Retail,Trader,-8.5537,0.0,-12.7741,-4.3333,True
Retail,Transportation,-17.0959,0.0,-18.9595,-15.2323,True
Retail,Whole supply chain,-5.1036,0.0,-7.7639,-2.4432,True
Retail,Wholesale,-3.7918,0.0001,-6.4015,-1.1821,True
Storage,Trader,6.9452,0.0,3.1418,10.7486,True
Storage,Transportation,-1.5969,0.0,-1.9534,-1.2404,True
Storage,Whole supply chain,10.3954,0.0,8.4637,12.3271,True
Storage,Wholesale,11.7071,0.0,9.8458,13.5685,True
Trader,Transportation,-8.5422,0.0,-12.3467,-4.7376,True
Trader,Whole supply chain,3.4502,0.2662,-0.8018,7.7021,False
Trader,Wholesale,4.7619,0.0114,0.5415,8.9823,True
Transportation,Whole supply chain,11.9923,0.0,10.0584,13.9263,True
Transportation,Wholesale,13.3041,0.0,11.4405,15.1677,True
Whole supply chain,Wholesale,1.3117,0.9315,-1.3486,3.9721,False
